id,key,value,type
27609199,created_by,Shp2Osm,regular
27609213,source,PGS,regular
27609215,source,PGS,regular
27609219,source,PGS,regular
27609219,created_by,Shp2Osm,regular
27609224,source,PGS,regular
27609224,created_by,Shp2Osm,regular
27609231,source,PGS,regular
27609248,source,PGS,regular
27609252,source,PGS,regular
27609256,source,PGS,regular
27609256,created_by,Shp2Osm,regular
27609272,source,PGS,regular
27609278,source,PGS,regular
27609278,created_by,Shp2Osm,regular
27609292,source,PGS,regular
27609292,created_by,Shp2Osm,regular
27609299,source,PGS,regular
27609299,created_by,Shp2Osm,regular
27609313,source,PGS,regular
27609313,created_by,Shp2Osm,regular
27609316,source,PGS,regular
27609328,source,PGS,regular
27609328,created_by,Shp2Osm,regular
27609367,source,PGS,regular
27609367,created_by,Shp2Osm,regular
27609377,source,PGS,regular
27609381,source,PGS,regular
27609381,created_by,Shp2Osm,regular
27609420,source,PGS,regular
27609425,source,PGS,regular
27609425,created_by,Shp2Osm,regular
27609431,source,PGS,regular
27609437,source,PGS,regular
27609439,source,PGS,regular
27609439,created_by,Shp2Osm,regular
27609450,source,PGS,regular
27609450,created_by,Shp2Osm,regular
27609457,source,PGS,regular
27609457,created_by,Shp2Osm,regular
27609463,source,PGS,regular
27609479,source,PGS,regular
27609479,created_by,Shp2Osm,regular
27609484,source,PGS,regular
27609484,created_by,Shp2Osm,regular
27609495,source,PGS,regular
27609518,source,PGS,regular
27609518,created_by,Shp2Osm,regular
27609529,source,PGS,regular
27609543,source,PGS,regular
27609551,source,PGS,regular
27609551,created_by,Shp2Osm,regular
27609552,source,PGS,regular
27609557,source,PGS,regular
27609557,created_by,Shp2Osm,regular
27609578,source,PGS,regular
27609578,created_by,Shp2Osm,regular
27609589,source,PGS,regular
27609589,created_by,Shp2Osm,regular
27609628,source,PGS,regular
27609628,created_by,Shp2Osm,regular
27609671,source,PGS,regular
27609671,created_by,Shp2Osm,regular
27609691,source,PGS,regular
27609691,created_by,Shp2Osm,regular
27609694,source,PGS,regular
27609694,created_by,Shp2Osm,regular
27609707,source,PGS,regular
27609707,created_by,Shp2Osm,regular
27609719,source,PGS,regular
27609722,source,PGS,regular
27609722,created_by,Shp2Osm,regular
27609733,source,PGS,regular
27609736,source,PGS,regular
27609736,created_by,Shp2Osm,regular
27609737,source,PGS,regular
27609751,source,PGS,regular
27609751,created_by,Shp2Osm,regular
27609756,source,PGS,regular
27609756,created_by,Shp2Osm,regular
27609757,source,PGS,regular
27609757,created_by,Shp2Osm,regular
27609766,source,PGS,regular
27609766,created_by,Shp2Osm,regular
27609768,source,PGS,regular
27609776,source,PGS,regular
27609798,source,PGS,regular
27609798,created_by,Shp2Osm,regular
27609810,source,PGS,regular
27609810,created_by,Shp2Osm,regular
27609824,source,PGS,regular
27609824,created_by,Shp2Osm,regular
27609843,source,PGS,regular
27609843,created_by,Shp2Osm,regular
27609853,source,PGS,regular
27609853,created_by,Shp2Osm,regular
27609867,source,PGS,regular
27609886,source,PGS,regular
27609927,source,PGS,regular
27609927,created_by,Shp2Osm,regular
27609945,source,PGS,regular
27609963,source,PGS,regular
27609968,source,PGS,regular
27609968,created_by,Shp2Osm,regular
27609970,source,PGS,regular
27609970,created_by,Shp2Osm,regular
27609987,source,PGS,regular
27609987,created_by,Shp2Osm,regular
27610007,source,PGS,regular
27610007,created_by,Shp2Osm,regular
27610008,source,PGS,regular
27610008,created_by,Shp2Osm,regular
27610023,source,PGS,regular
27610023,created_by,Shp2Osm,regular
27610032,source,PGS,regular
27610033,source,PGS,regular
27610033,created_by,Shp2Osm,regular
27610045,source,PGS,regular
27610045,created_by,Shp2Osm,regular
27610048,source,PGS,regular
27610048,created_by,Shp2Osm,regular
27610059,source,PGS,regular
27610078,source,PGS,regular
27610078,created_by,Shp2Osm,regular
27610092,source,PGS,regular
27610130,source,PGS,regular
27610147,source,PGS,regular
27610159,source,PGS,regular
27610159,created_by,Shp2Osm,regular
27610180,source,PGS,regular
27610190,source,PGS,regular
27610190,created_by,Shp2Osm,regular
27610218,source,PGS,regular
27610219,source,PGS,regular
27610255,source,PGS,regular
27610261,source,PGS,regular
27610261,created_by,Shp2Osm,regular
27610264,source,PGS,regular
27610279,source,PGS,regular
27610282,source,PGS,regular
27610307,source,PGS,regular
27610307,created_by,Shp2Osm,regular
27610313,source,PGS,regular
27610313,created_by,Shp2Osm,regular
27610323,source,PGS,regular
27610344,source,PGS,regular
27610374,source,PGS,regular
27610389,source,PGS,regular
27610389,created_by,Shp2Osm,regular
27610390,source,PGS,regular
27610414,source,PGS,regular
27610441,source,PGS,regular
27610441,created_by,Shp2Osm,regular
27610447,source,PGS,regular
27610460,source,PGS,regular
27610460,created_by,Shp2Osm,regular
27610467,source,PGS,regular
27610467,created_by,Shp2Osm,regular
27610474,source,PGS,regular
27610494,source,PGS,regular
27610494,created_by,Shp2Osm,regular
27610513,source,PGS,regular
27610523,source,PGS,regular
27610540,source,PGS,regular
27610563,source,PGS,regular
27610579,source,PGS,regular
27610584,source,PGS,regular
27610584,created_by,Shp2Osm,regular
27610596,source,PGS,regular
27610605,source,PGS,regular
27610605,created_by,Shp2Osm,regular
27610619,source,PGS,regular
27610619,created_by,Shp2Osm,regular
27610622,source,PGS,regular
27610622,created_by,Shp2Osm,regular
27610629,source,PGS,regular
27610629,created_by,Shp2Osm,regular
27610631,source,PGS,regular
27610638,source,PGS,regular
27610638,created_by,Shp2Osm,regular
27610658,source,PGS,regular
27610661,source,PGS,regular
27610732,source,PGS,regular
27610735,source,PGS,regular
27610735,created_by,Shp2Osm,regular
27610738,source,PGS,regular
27610752,source,PGS,regular
27610752,created_by,Shp2Osm,regular
27610776,source,PGS,regular
27610776,created_by,Shp2Osm,regular
27610786,source,PGS,regular
27610786,created_by,Shp2Osm,regular
27610809,source,PGS,regular
27610834,source,PGS,regular
27610837,source,PGS,regular
27610850,source,PGS,regular
27610850,created_by,Shp2Osm,regular
27610902,source,PGS,regular
27610902,created_by,Shp2Osm,regular
27610945,source,PGS,regular
27610945,created_by,Shp2Osm,regular
27610961,source,PGS,regular
27610998,source,PGS,regular
27611000,source,PGS,regular
27611000,created_by,Shp2Osm,regular
27611007,source,PGS,regular
27611012,source,PGS,regular
27611023,source,PGS,regular
27611040,source,PGS,regular
27611040,created_by,Shp2Osm,regular
27611044,source,PGS,regular
27611044,created_by,Shp2Osm,regular
27611045,source,PGS,regular
27611045,created_by,Shp2Osm,regular
27611048,source,PGS,regular
27611055,source,PGS,regular
27611105,source,PGS,regular
27611133,source,PGS,regular
27611133,created_by,Shp2Osm,regular
27611159,source,PGS,regular
27611159,created_by,Shp2Osm,regular
27611184,source,PGS,regular
27611184,created_by,Shp2Osm,regular
27611197,source,PGS,regular
27611197,created_by,Shp2Osm,regular
27611206,source,PGS,regular
27611209,source,PGS,regular
27611237,source,PGS,regular
27611237,created_by,Shp2Osm,regular
27611249,source,PGS,regular
27611249,created_by,Shp2Osm,regular
27611279,source,PGS,regular
27611279,created_by,Shp2Osm,regular
27611321,source,PGS,regular
27611321,created_by,Shp2Osm,regular
27611342,source,PGS,regular
27611342,created_by,Shp2Osm,regular
27611368,source,PGS,regular
27611368,created_by,Shp2Osm,regular
27611397,source,PGS,regular
27611407,source,PGS,regular
27611407,created_by,Shp2Osm,regular
27611415,source,PGS,regular
27611415,created_by,Shp2Osm,regular
27611428,source,PGS,regular
27611428,created_by,Shp2Osm,regular
27611441,source,PGS,regular
27611441,created_by,Shp2Osm,regular
27611445,source,PGS,regular
27611445,created_by,Shp2Osm,regular
27611451,source,PGS,regular
27611474,source,PGS,regular
27611474,created_by,Shp2Osm,regular
27611478,source,PGS,regular
31681069,created_by,JOSM,regular
31681071,created_by,JOSM,regular
31681091,highway,Traffic_Signals,regular
31681111,created_by,JOSM,regular
31681116,created_by,JOSM,regular
31681121,created_by,JOSM,regular
31681123,created_by,JOSM,regular
31681125,created_by,JOSM,regular
31681128,created_by,JOSM,regular
31681130,created_by,JOSM,regular
31681133,created_by,JOSM,regular
31681137,created_by,JOSM,regular
31681187,created_by,JOSM,regular
31681191,created_by,JOSM,regular
31681193,highway,Traffic_Signals,regular
31681193,created_by,JOSM,regular
105404369,highway,Traffic_Signals,regular
105408154,highway,Crossing,regular
105408807,highway,Traffic_Signals,regular
105408815,highway,Crossing,regular
105409185,highway,Crossing,regular
105409185,crossing,Traffic_Signals,regular
251149582,highway,Traffic_Signals,regular
251149586,highway,Traffic_Signals,regular
251270408,barrier,Toll_Booth,regular
251302687,is_in,İstanbul;Türkiye,regular
251302687,name,Beşiktaş,regular
251302687,ar,بشيكتاش,name
251302687,place,Town,regular
251302687,population,189356,regular
251302687,date,2016,population
251358370,admin1_code,34,geonames
251358370,asciiname,Yildiz,geonames
251358370,country_code,TR,geonames
251358370,feature_class,P,geonames
251358370,feature_code,PPLX,geonames
251358370,id,737486,geonames
251358370,last_modification_date,1993-12-18,geonames
251358370,name,Yıldız,geonames
251358370,is_in,Beşiktaş; İstanbul; Türkiye,regular
251358370,city,Istanbul,is_in
251358370,suburb,Beşiktaş,is_in
251358370,name,Yıldız,regular
251358370,ar,يلديز,name
251358370,place,Neighbourhood,regular
251358370,wikidata,Q3100907,regular
251358375,name,Vaniköy,regular
251358375,note,FIXME - Precise Location And Place Type,regular
251358375,is_in,"Turkey, İstanbul",regular
251358375,place,Suburb,regular
251358375,wikidata,Q2031027,regular
251358375,id,738215,geonames
251358397,id,741931,geonames
251358397,is_in,"Turkey, İstanbul",regular
251358397,city,Istanbul,is_in
251358397,suburb,Üsküdar,is_in
251358397,name,Kuzguncuk,regular
251358397,ar,كوزكونجوك,name
251358397,note,FIXME - Precise Location And Place Type,regular
251358397,place,Neighbourhood,regular
251358397,wikidata,Q2555555,regular
251358399,id,742083,geonames
251358399,is_in,Beşiktaş; İstanbul; Türkiye,regular
251358399,city,Istanbul,is_in
251358399,suburb,Beşiktaş,is_in
251358399,name,Kuruçeşme,regular
251358399,ar,كوروتشيشمي,name
251358399,place,Neighbourhood,regular
251358441,name,Kandilli,regular
251358441,note,FIXME - Precise Location And Place Type,regular
251358441,is_in,"Turkey, İstanbul",regular
251358441,place,Suburb,regular
251358441,wikidata,Q12810206,regular
251358441,id,744717,geonames
251358441,name,Kandilli,geonames
251358441,asciiname,Kandilli,geonames
251358441,admin1_code,34,geonames
251358441,country_code,TR,geonames
251358441,feature_code,PPLX,geonames
251358441,feature_class,P,geonames
251358441,last_modification_date,1993-12-18,geonames
251358459,id,749323,geonames
251358459,is_in,"Turkey, İstanbul",regular
251358459,city,Istanbul,is_in
251358459,suburb,Üsküdar,is_in
251358459,name,Çengelköy,regular
251358459,ar,تشينكيل كوي,name
251358459,note,FIXME - Precise Location And Place Type,regular
251358459,place,Neighbourhood,regular
251358459,wikidata,Q2921300,regular
251358465,name,Beylerbeyi,regular
251358465,note,FIXME - Precise Location And Place Type,regular
251358465,is_in,"Turkey, İstanbul",regular
251358465,place,Locality,regular
251358465,id,750656,geonames
251358465,name,Beylerbeyi,geonames
251358465,asciiname,Beylerbeyi,geonames
251358465,admin1_code,34,geonames
251358465,country_code,TR,geonames
251358465,feature_code,PPL,geonames
251358465,feature_class,P,geonames
251358465,last_modification_date,1993-12-18,geonames
251358471,admin1_code,34,geonames
251358471,asciiname,Bebek,geonames
251358471,country_code,TR,geonames
251358471,feature_class,P,geonames
251358471,feature_code,PPLX,geonames
251358471,id,750864,geonames
251358471,last_modification_date,1993-12-18,geonames
251358471,name,Bebek,geonames
251358471,is_in,Beşiktaş; İstanbul; Türkiye,regular
251358471,city,Istanbul,is_in
251358471,suburb,Beşiktaş,is_in
251358471,name,Bebek,regular
251358471,ar,بيبيك,name
251358471,place,Neighbourhood,regular
251358471,wikidata,Q813531,regular
251358473,is_in,Beşiktaş; İstanbul; Türkiye,regular
251358473,city,Istanbul,is_in
251358473,suburb,Beşiktaş,is_in
251358473,name,Sinanpaşa,regular
251358473,ar,سينان باشا,name
251358473,place,Neighbourhood,regular
251358473,wikidata,Q2744945,regular
251358479,id,751869,geonames
251358479,is_in,Beşiktaş; İstanbul; Türkiye,regular
251358479,city,Istanbul,is_in
251358479,suburb,Beşiktaş,is_in
251358479,name,Arnavutköy,regular
251358479,ar,أرنافوت كوي,name
251358479,place,Neighbourhood,regular
251358479,wikidata,Q1095321,regular
251369712,highway,Motorway_Junction,regular
254478140,highway,Motorway_Junction,regular
255088636,type,Broad_Leafed,regular
255088636,natural,Tree,regular
255088636,denotation,Urban,regular
266757845,name,Kabataş Tramvay,regular
266757845,tram,Yes,regular
266757845,railway,Tram_Stop,regular
266757845,wheelchair,Yes,regular
266757845,public_transport,Stop_Position,regular
269348957,highway,Traffic_Signals,regular
269348959,highway,Crossing,regular
269348967,highway,Traffic_Signals,regular
269366848,amenity,Post_Office,regular
269366848,created_by,Potlatch 0.9C,regular
269366868,natural,Tree,regular
269366868,leaf_type,Broadleaved,regular
269366868,denotation,Urban,regular
269366958,type,Broad_Leafed,regular
269366958,natural,Tree,regular
269366958,denotation,Urban,regular
269367130,type,Broad_Leafed,regular
269367130,natural,Tree,regular
269367130,denotation,Urban,regular
269370709,tourism,Rumeli Hisarı,regular
269370709,created_by,Potlatch 0.9C,regular
269371302,amenity,Parking,regular
269371302,created_by,Potlatch 0.9C,regular
269385944,name,Rumelihisarı,regular
269385944,place,Suburb,regular
269385944,wikidata,Q6073442,regular
269427401,is_in,Beşiktaş; İstanbul; Türkiye,regular
269427401,city,Istanbul,is_in
269427401,suburb,Beşiktaş,is_in
269427401,name,Etiler,regular
269427401,ar,إيتلار,name
269427401,place,Neighbourhood,regular
269427401,wikidata,Q951063,regular
269427560,is_in,Beşiktaş; İstanbul; Türkiye,regular
269427560,city,Istanbul,is_in
269427560,suburb,Beşiktaş,is_in
269427560,name,Levent,regular
269427560,ar,ليفينت,name
269427560,place,Neighbourhood,regular
269427560,wikidata,Q48898,regular
269478206,highway,Traffic_Signals,regular
269479694,name,Barbaros Hayrettin Heykeli,regular
269479694,en,Sculpture Of Barbarossa,name
269479694,tourism,Attraction,regular
269491733,is_in,Turkey,regular
269491733,name,Nişantaşı,regular
269491733,ar,نيشانتشى,name
269491733,ka,ნიშანთაში,name
269491733,place,Suburb,regular
269491733,wikidata,Q251601,regular
269492230,is_in,"İstanbul, Turkey",regular
269492230,city,Istanbul,is_in
269492230,suburb,Şişli,is_in
269492230,name,Teşvikiye,regular
269492230,ar,تشويكيّة,name
269492230,place,Neighbourhood,regular
269492230,wikidata,Q5274738,regular
269497288,name,Barbaros Hayrettin Türbesi,regular
269497288,historic,Memorial,regular
269497288,religion,Muslim,regular
269498729,name,Nişantaşı Kız Lisesi,regular
269498729,amenity,School,regular
269498729,created_by,Potlatch 0.9C,regular
269498799,name,Anadolu Teknik Lisesi,regular
269498799,amenity,School,regular
269498799,created_by,Potlatch 0.9C,regular
269518313,amenity,Place_Of_Worship,regular
269518313,religion,Muslim,regular
269523672,name,W Hotel,regular
269523672,phone,+90 212 381 2121,regular
269523672,tourism,Hotel,regular
269523672,city,Istanbul,addr
269523672,street,Süleyman Seba Avenue,addr
269523672,postcode,34357,addr
269523672,housenumber,22,addr
269706604,name,Ertuğrul Tekke Camii,regular
269706604,amenity,Place_Of_Worship,regular
269706604,religion,Muslim,regular
269707397,name,Beşiktaş Panayia Rum Ortodoks Kilisesi Vakfı,regular
269707397,amenity,Place_Of_Worship,regular
269707397,religion,Christian,regular
269707854,barrier,Bollard,regular
269709058,name,Kanburun Bahçesi,regular
269709058,tourism,Attraction,regular
269713523,name,Swissôtel,regular
269713523,tourism,Hotel,regular
269715148,source,PGS,regular
269730169,shop,Shoes_Shop,regular
269730169,wheelchair,Limited,regular
269730270,barrier,Bollard,regular
269730770,highway,Traffic_Signals,regular
269735259,highway,Traffic_Signals,regular
269747492,barrier,Lift_Gate,regular
269751031,highway,Traffic_Signals,regular
277060526,created_by,JOSM,regular
277060527,created_by,JOSM,regular
277060530,created_by,JOSM,regular
277060532,created_by,JOSM,regular
277162338,amenity,Ferry_Terminal,regular
277162338,name,Beşiktaş,regular
277162338,en,Beşiktaş ميناء بيشكتاش,name
277162338,ru,Бешикташ,name
277447220,amenity,Ferry_Terminal,regular
277447220,name,Beşiktaş,regular
277447220,ru,Бешикташ,name
277447220,sign,Ferry,waterway
278335517,highway,Traffic_Signals,regular
289541532,barrier,Entrance,regular
354963293,source,Yahoo,regular
354963293,amenity,Place_Of_Worship,regular
354963293,religion,Muslim,regular
354963293,created_by,Potlatch 0.10F,regular
354963434,source,Yahoo,regular
354963434,amenity,Place_Of_Worship,regular
354963434,religion,Muslim,regular
354963434,created_by,Potlatch 0.10F,regular
354963507,source,Yahoo,regular
354963507,amenity,Place_Of_Worship,regular
354963507,religion,Muslim,regular
354963981,source,Yahoo,regular
354963981,amenity,Place_Of_Worship,regular
354963981,religion,Muslim,regular
354969292,name,Hacı Nimet Özden Camii,regular
354969292,amenity,Place_Of_Worship,regular
354969292,religion,Muslim,regular
374190402,name,4. Levent Metro,regular
374190402,railway,Subway_Entrance,regular
374190402,wheelchair,Yes,regular
415023200,name,Kabataş,regular
415023200,rail,Yes,regular
415023200,network,F1 Kabataş - Taksim,regular
415023200,railway,Halt,regular
502792191,amenity,Post_Office,regular
503981750,name,Beşiktaş,regular
503981750,highway,Bus_Stop,regular
503981754,name,Beşiktaş,regular
503981754,highway,Bus_Stop,regular
503981759,name,Akaretler,regular
503981759,highway,Bus_Stop,regular
503981763,name,Akaretler,regular
503981763,highway,Bus_Stop,regular
503981768,name,Beşiktaş,regular
503981768,highway,Bus_Stop,regular
503981772,name,Beşiktaş,regular
503981772,highway,Bus_Stop,regular
508068252,name,Feriye Sinemaları,regular
513619671,barrier,Bollard,regular
513620264,name,Ortaköy Meydanı,regular
513620264,phone,+90 532 176 72 94,regular
513620264,website,Http://Organizeedelim.Com,regular
513620264,city,İstanbul,addr
513620264,housename,Organize Edelim,addr
513620267,name,Ortaköy Sahil,regular
513620267,place,Locality,regular
513620277,name,Public Toilet/Umumi Tuvalet,regular
513620277,amenity,Toilets,regular
513620277,wheelchair,No,regular
513620285,amenity,Telephone,regular
513655471,amenity,Police,regular
513655717,name,Bebek İskelesi,regular
513655717,amenity,Ferry_Terminal,regular
513655728,name,Arnavutköy İskelesi,regular
513655728,amenity,Ferry_Terminal,regular
513655728,wheelchair,Yes,regular
513752481,barrier,Bollard,regular
513752553,barrier,Bollard,regular
513752563,barrier,Bollard,regular
513752593,barrier,Bollard,regular
513793032,barrier,Lift_Gate,regular
523973128,is_in,Beşiktaş; İstanbul; Türkiye,regular
523973128,name,Kültür,regular
523973128,ar,كولتور,name
523973128,place,Suburb,regular
523973128,wikidata,Q6068892,regular
523987799,is_in,Beşiktaş; İstanbul; Türkiye,regular
523987799,city,Istanbul,is_in
523987799,suburb,Beşiktaş,is_in
523987799,name,Levazım,regular
523987799,ar,ليفازِم,name
523987799,place,Neighbourhood,regular
523987799,wikidata,Q6080917,regular
523987805,is_in,Beşiktaş; İstanbul; Türkiye,regular
523987805,city,Istanbul,is_in
523987805,suburb,Beşiktaş,is_in
523987805,name,Balmumcu,regular
523987805,ar,بالمومجو,name
523987805,place,Neighbourhood,regular
523987805,wikidata,Q6093871,regular
523987811,is_in,Beşiktaş; İstanbul; Türkiye,regular
523987811,city,Istanbul,is_in
523987811,suburb,Beşiktaş,is_in
523987811,name,Nisbetiye,regular
523987811,ar,نيسبتيّة,name
523987811,place,Neighbourhood,regular
523988253,is_in,Beşiktaş; İstanbul; Türkiye,regular
523988253,name,Akatlar,regular
523988253,ar,أكات لار,name
523988253,place,Suburb,regular
523988253,wikidata,Q6067617,regular
523988264,is_in,Beşiktaş; İstanbul; Türkiye,regular
523988264,city,Istanbul,is_in
523988264,suburb,Beşiktaş,is_in
523988264,name,Konaklar,regular
523988264,ar,كوناك لار,name
523988264,place,Neighbourhood,regular
523988264,wikidata,Q6070763,regular
538394043,name,Nispetiye,regular
538394043,highway,Bus_Stop,regular
538394044,name,Nispetiye,regular
538394044,highway,Bus_Stop,regular
538394045,name,Cengiz Topel,regular
538394045,highway,Bus_Stop,regular
538394046,name,Cengiz Topel,regular
538394046,highway,Bus_Stop,regular
538394047,name,Basın Sitesi,regular
538394047,highway,Bus_Stop,regular
538394048,name,Basın Sitesi,regular
538394048,highway,Bus_Stop,regular
538394049,name,Etiler,regular
538394049,highway,Bus_Stop,regular
538394050,name,Etiler,regular
538394050,highway,Bus_Stop,regular
538394051,name,Etiler Çarşı,regular
538394051,highway,Bus_Stop,regular
538394052,name,Etiler Çarşı,regular
538394052,highway,Bus_Stop,regular
538394057,name,Talim Yeri,regular
538394057,highway,Bus_Stop,regular
538394058,name,Talim Yeri,regular
538394058,highway,Bus_Stop,regular
538394059,name,Turizm Sitesi,regular
538394059,highway,Bus_Stop,regular
538394060,name,Ulus Neighborhood,regular
538394060,highway,Bus_Stop,regular
538394061,name,Çamlıtepe,regular
538394061,highway,Bus_Stop,regular
538394062,name,Esenevler,regular
538394062,highway,Bus_Stop,regular
538394065,amenity,Atm,regular
538394067,name,Espressolab,regular
538394067,amenity,Cafe,regular
538394068,name,Garanti ATM,regular
538394068,amenity,Atm,regular
539126157,highway,Traffic_Signals,regular
540739083,name,Esenevler,regular
540739083,highway,Bus_Stop,regular
540739091,name,Çamlıtepe,regular
540739091,highway,Bus_Stop,regular
540739106,name,Ulus Neighborhood,regular
